UCAV,GRMA,RHON,GR_RAB,BPHI,TNPH,RES_BD,P16B,A40B,VSH,VCO
,46.35725,1.610345,61.76951,62.2671,60.3593,1.549759,1.170472,1.430296,,
,47.10678,1.600772,58.63406,61.5518,58.6474,1.542361,1.177442,1.429046,,
,48.5175,1.607891,58.33245,63.2962,62.0806,1.252519,1.202329,1.44625,,
10.13607,49.51088,1.616011,60.89138,61.404,59.1258,1.475587,1.22665,1.445563,,
10.26716,51.60293,1.627146,60.48185,60.256,57.6848,1.726452,1.246074,1.443892,,
10.16292,53.36722,1.634083,59.30977,60.7694,58.896,1.40839,1.230461,1.443571,,
10.19946,53.61894,1.623758,59.4978,62.8586,62.1062,1.613293,1.18333,1.432479,,
10.7209,51.2066,1.619828,60.34148,66.3161,68.5644,1.809051,1.148988,1.445576,,
10.51665,47.48335,1.604636,60.71234,66.0599,67.1492,1.73429,1.057924,1.454592,,
,42.76213,1.566338,59.93123,63.7026,60.6835,1.551092,1.02331,1.481549,,
10.6661,42.16219,1.549585,57.96424,69.2298,70.2211,1.678975,1.018314,1.496704,,
9.539139,43.89577,1.561968,57.36185,67.4964,67.4871,1.640218,1.074085,1.480007,,
9.383821,47.74216,1.581228,59.67095,62.8462,59.9299,1.698656,1.15664,1.473405,,
9.609594,49.48949,1.60703,61.12956,62.3187,60.285,1.717676,1.071007,1.484059,,
10.22032,51.80927,1.67343,61.75658,63.5322,66.0944,1.427002,1.285248,1.467829,,
10.04304,52.90974,1.729421,62.35781,58.6241,59.7132,1.608518,1.309766,1.471491,,
10.06028,54.17484,1.762283,61.42366,54.4063,53.8584,1.541858,1.332722,1.468448,,
9.763157,54.03857,1.76946,60.2976,55.1156,55.3701,1.629379,1.344263,1.464794,,
9.733176,55.60175,1.765887,59.2509,52.7707,51.3316,1.760669,1.352027,1.474919,,
9.60873,56.16704,1.764215,59.3442,54.9847,54.9162,1.46961,1.359347,1.476855,,
9.519781,56.4894,1.737165,60.13677,59.2966,61.3446,1.571724,1.351058,1.483616,,
9.67626,54.51455,1.702372,61.06917,59.2375,59.4987,1.327063,1.327905,1.486701,,
9.733719,54.27811,1.679739,61.94331,64.7656,68.9836,1.612842,1.319271,1.491661,,
9.496908,51.56412,1.650823,61.94774,59.7519,57.933,1.423414,1.293115,1.500468,,
9.817616,51.55865,1.630085,62.55912,60.8618,58.8643,1.681893,1.253436,1.510103,,
9.628489,50.32358,1.641603,62.01283,62.9487,63.2126,1.497297,1.274166,1.514288,,
9.347083,52.1539,1.658783,59.96121,60.589,59.7807,1.642732,1.308059,1.518158,,
9.25935,53.36015,1.686923,58.12366,58.4333,57.3473,1.618368,1.384121,1.504326,,
9.130006,56.43237,1.724515,61.97689,56.8924,56.4153,1.29793,1.394101,1.513592,,
9.087973,57.4449,1.753443,72.00117,55.6707,55.6135,1.614044,1.396336,1.515984,,
9.042713,57.85771,1.773563,78.7957,54.668,54.7835,1.722582,1.424323,1.528105,,
9.048582,57.06929,1.787447,80.6436,59.1823,63.7641,1.456926,1.406211,1.53788,,
9.206471,58.65131,1.792356,74.98789,55.3892,56.8771,1.622927,1.410949,1.549994,,
9.208334,57.14271,1.781951,65.4979,53.7516,53.5951,1.446798,1.403464,1.553127,,
9.210856,57.41264,1.793896,64.62341,53.954,54.4466,1.497021,1.412915,1.56097,,
9.355617,55.12664,1.799981,71.33504,56.3723,59.0172,1.774638,1.43584,1.567449,,
9.29468,55.63725,1.813049,76.66233,52.1064,52.1446,1.976224,1.438489,1.559351,,
9.212179,55.30817,1.827442,78.0084,52.1211,52.7584,2.072644,1.45796,1.589327,,
9.083749,56.71393,1.849478,78.97098,51.0467,51.8589,1.321471,1.513231,1.578117,,
9.045358,59.90097,1.849735,81.39729,54.9044,58.6807,1.215141,1.492733,1.576455,,
9.074165,60.10103,1.855888,84.70592,45.3981,43.346,1.496764,1.512284,1.566638,,
9.042002,60.69015,1.858674,84.59567,49.995,50.4877,2.109576,1.499505,1.553408,,
9.089995,58.80053,1.859733,82.66356,48.4241,48.0149,1.374316,1.493675,1.563399,,
9.099999,59.46371,1.832111,82.21559,54.1089,56.4047,1.637799,1.490553,1.559165,,
9.097708,58.10813,1.81947,79.51938,51.1088,50.769,1.715143,1.461242,1.554644,,
9.095973,57.84721,1.822967,76.20642,55.1164,57.8046,1.834171,1.437549,1.567306,,
8.972529,56.03486,1.813609,76.20433,53.1208,53.8699,1.543651,1.346142,1.552469,,
9.136236,55.04667,1.813475,77.55582,48.7481,46.8598,1.649938,1.317172,1.523008,,
9.040786,54.66485,1.802972,76.85804,54.7572,56.2401,1.396352,1.225198,1.527573,,
9.084463,53.04529,1.773705,76.33318,51.6717,49.8945,1.424586,1.364452,1.560804,,
9.07025,51.4296,1.743763,78.31574,54.2556,52.8327,2.056201,1.265784,1.529784,,
9.07375,49.2495,1.726918,80.25542,58.4117,59.2052,2.547246,1.17864,1.49708,,
9.09025,51.61736,1.703506,81.01791,60.3529,61.5979,1.237367,1.088645,1.501469,,
9.034376,53.68355,1.705707,80.83192,56.2465,54.4945,1.320181,1.112315,1.570173,,
9.103745,55.15891,1.717001,80.48914,56.5331,55.4664,1.405077,1.216239,1.54114,,
9.189741,54.41816,1.738279,81.69024,55.5078,54.6718,1.259063,1.267229,1.543931,,
9.239994,54.8712,1.767953,82.34875,52.6909,51.2849,1.252637,1.349041,1.570368,,
9.193131,55.62564,1.784537,81.31108,54.0161,54.1492,1.332519,1.386956,1.578238,,
9.22134,56.97852,1.798881,80.48529,54.73,56.0081,1.492453,1.515565,1.602066,,
9.662459,56.07566,1.821123,81.46604,54.2346,56.1331,1.589382,1.593889,1.626693,,
9.426679,57.76168,1.822827,83.60866,51.9982,52.3638,0.9193462,1.590549,1.656289,,
9.510596,58.28994,1.833494,82.4724,48.6175,47.3696,1.728208,1.598462,1.658083,,
9.254431,59.64497,1.829659,79.01951,52.9992,54.3456,1.832387,1.591612,1.65211,,
9.22828,58.64284,1.84632,77.13224,47.827,46.6148,1.770942,1.554334,1.656536,,
9.208495,56.80265,1.851662,75.61879,52.1946,53.8974,1.459612,1.417094,1.66244,,
8.933233,56.26915,1.850458,75.59033,47.9312,46.9208,2.043216,1.386583,1.663521,,
9.240236,56.59548,1.843895,76.90926,51.6293,52.6088,2.336438,1.485348,1.64004,,
9.307494,56.77864,1.841316,75.95377,54.0032,56.6323,1.781496,1.531615,1.628876,,
9.308437,56.0571,1.831601,74.432,51.9438,52.6313,2.000196,1.547947,1.604349,,
9.213014,55.68055,1.825076,75.24419,56.4701,60.4327,2.334149,1.523354,1.597601,,
9.147115,55.32906,1.790376,78.89441,52.7334,52.255,2.446017,1.483676,1.570739,,
9.283141,51.76245,1.740275,80.66924,56.1952,55.9263,1.755515,1.371435,1.562225,,
9.364082,49.14236,1.708963,78.87048,53.4516,50.1714,2.132092,1.34171,1.535184,,
9.484761,46.74512,1.663811,76.72579,55.6213,51.7471,2.046359,1.212534,1.53764,,
9.568864,48.35291,1.612352,74.87038,60.0163,56.5997,1.167848,1.251583,1.476719,,
9.46974,45.90947,1.552896,74.35959,69.8533,71.73,0.9738383,1.1343,1.4616,,
9.33894,41.84126,1.490411,75.62074,65.5601,60.0933,1.271906,1.02779,1.44908,,
9.387915,37.47264,1.444178,76.97785,70.4792,66.3611,1.470379,0.957045,1.395319,,
9.102194,36.38924,1.404624,75.43751,70.1269,63.5297,1.236076,0.9711224,1.338415,,
8.997923,36.93016,1.375153,72.30784,70.831,63.1779,1.739476,0.9772376,1.388453,,
8.845763,37.35556,1.362585,70.24828,,78.1604,0.8198701,1.005794,1.400494,,
9.123432,37.27436,,67.69735,73.832,66.6079,1.324953,1.016924,1.452545,,
9.532231,37.04224,,63.81543,,73.0914,1.097668,0.9147693,1.522159,,
9.457044,34.74474,,60.66532,,,0.9187594,,1.440463,,
8.808778,,,58.35171,,,1.077652,,1.364343,,
8.297282,,,55.8846,,,0.9791365,,1.257577,,
8.235679,,,53.41464,,,0.7558265,,1.185266,,
,,,52.88755,,,0.6992397,,1.131892,,
8.25142,,,54.15818,,,0.7022467,,1.123762,,
8.360434,,,54.8842,,76.8683,0.7133495,,1.129551,,
8.910303,,,54.99301,,71.8178,0.6256233,,1.107673,,
9.338424,33.53675,,56.92068,,,0.4766559,0.7128235,1.121645,,
8.914402,37.52832,1.360704,61.92909,77.7219,75.5334,0.561893,0.7928925,1.096186,,
8.794178,36.92606,1.386927,64.78731,74.3852,70.4128,0.5389395,0.8978613,1.080808,,
9.117959,37.1253,1.386066,63.66022,76.6906,75.0897,0.8150972,0.9411554,1.08163,,
9.486162,36.62155,1.366781,62.72557,77.1856,74.8121,0.84478,1.050623,1.158019,,
9.393834,36.13672,,60.97579,,75.2421,0.8286263,0.9431203,1.178636,,
9.260599,31.01726,,56.13783,,76.9675,0.8971478,,1.115212,,
9.117808,,,53.38006,,78.0016,1.025063,,,,
8.730948,,,54.17271,,,0.9121564,,,,
8.113976,,,52.40413,,,0.9219813,,,,
8.314169,,,,,,0.5461614,,,,
8.553753,,,,,,0.410443,,,,
8.737393,,,,,,0.3819846,,,,
8.989454,,1.394044,,77.989,78.5286,0.4350027,,,,
9.047496,32.51191,1.462924,,77.2187,,0.425012,,,,
9.175488,37.82462,1.525808,53.90527,72.7816,76.2939,0.4750249,0.7758119,1.009856,,
9.110633,41.53629,1.566759,61.9292,67.4399,67.6585,0.458207,0.9182194,1.099861,,
9.336841,43.83364,1.605957,70.94608,63.8795,63.0489,0.4970075,1.064978,1.228414,,
9.367899,45.65127,1.660375,75.06384,60.7938,60.225,0.5121521,1.186955,1.327574,,
9.281884,46.79229,1.720497,76.19347,54.1833,51.7676,0.8756825,1.314019,1.395452,,
9.338732,49.38204,1.772097,77.30402,53.0846,52.0853,0.8840316,1.536444,1.497775,,
9.204793,50.16248,1.800464,77.87701,52.6318,52.4985,0.873014,1.460971,1.559218,,
9.220636,52.45155,1.809562,77.36508,53.4995,54.3416,1.305816,1.434631,1.608736,,
9.371243,53.8006,1.800809,76.52608,54.4636,55.6272,1.565844,1.392037,1.604717,,
9.257187,54.99757,1.772656,77.79208,55.5073,56.1889,1.662081,1.27484,1.611017,,
9.192084,53.39211,1.745409,80.23146,51.3481,48.3368,1.69699,1.140666,1.618593,,
8.918049,51.31295,1.730753,80.80872,53.1009,50.4712,2.323463,1.146016,1.595,,
9.316122,52.19297,1.720273,78.76842,56.7135,55.9178,0.6663414,1.13465,1.579123,,
9.16948,52.14436,1.719571,78.13317,54.8435,52.7866,1.28337,1.125567,1.635007,,
9.184499,53.74281,1.773697,80.03108,53.9136,53.5171,0.995571,1.242435,1.585827,,
9.104603,54.25542,1.806563,80.75701,51.7281,51.2638,1.248822,1.336639,1.598711,,
9.191024,56.4387,1.831414,81.06881,47.377,45.4286,1.606624,1.461037,1.618633,,
9.311255,58.61509,1.808769,80.1675,51.8215,51.5027,1.320714,1.435074,1.623172,,
9.339445,58.66415,1.766695,77.85099,57.5091,59.4954,2.129871,1.3127,1.575955,,
9.551109,56.06609,1.727712,79.42809,63.1041,68.3903,0.9837053,1.137862,1.515104,,
9.543863,51.2227,1.696991,79.43127,62.2933,64.9671,1.566008,0.9963936,1.559723,,
9.446252,48.54794,1.662697,75.38046,55.3085,51.2191,0.9914094,1.006167,1.545844,,
9.503333,46.78521,1.644952,74.63901,60.2811,58.5685,1.408605,1.021047,1.48551,,
9.556896,48.96876,1.635359,74.67897,60.4271,58.3639,1.105877,0.9727527,1.570353,,
9.428757,48.98289,1.652261,75.70898,65.7858,69.4408,1.32839,0.9956596,1.477521,,
9.487103,49.80477,1.673637,77.51331,61.871,62.8869,1.111545,0.8863515,1.504698,,
9.41105,49.10067,1.690898,76.57333,58.1123,56.9777,1.765019,0.894065,1.556942,,
9.30199,48.5744,1.727281,78.62423,56.126,55.2319,1.38392,1.087282,1.470219,,
9.259463,50.83677,1.761386,83.08856,56.8135,57.9787,0.8250251,1.24688,1.565872,,
9.469481,53.01841,1.809817,85.70722,51.746,51.422,1.062209,1.328615,1.642221,,
9.207534,55.61776,1.848829,87.43346,52.516,54.3318,1.299248,1.476015,1.640032,,
9.425424,57.94917,1.895827,87.86753,51.8491,55.1952,1.579009,1.540625,1.643988,,
9.316867,59.65458,1.903449,84.73049,51.4061,54.7355,1.494335,1.616144,1.655566,,
9.225247,61.02026,1.89837,80.55463,47.5017,47.9604,2.113247,1.632059,1.690979,,
9.17719,59.82817,1.880507,79.24274,49.8591,51.1167,1.538256,1.615187,1.70569,,
9.231937,58.60363,1.867088,77.57213,49.2946,49.6714,1.907886,1.312785,1.801023,,
9.283499,57.53934,1.822524,75.4795,51.7508,51.9393,0.7702677,1.366365,1.723276,,
9.329998,56.32986,1.785523,74.92,51.1031,49.453,1.267843,1.356825,1.655695,,
9.155017,52.62768,1.762722,75.72202,60.392,64.8305,2.0942,1.182153,1.649757,,
9.247697,50.47385,1.772571,78.6123,50.5682,48.1509,2.694951,1.118192,1.639286,,
9.263501,48.80993,1.754453,82.96751,52.4772,50.416,1.809055,1.241527,1.626493,,
9.272836,52.72039,1.755928,85.6515,56.9989,58.0527,2.098701,1.302022,1.605692,,
9.379418,56.28495,1.761993,84.2096,54.9515,54.7614,1.279814,1.611067,1.586312,,
9.625114,59.24686,1.762281,82.18999,56.2308,56.985,2.104837,1.485565,1.572935,,
10.39622,59.15546,1.767449,81.77805,54.6981,54.5693,1.903625,1.490719,1.544886,,
10.59989,58.38383,1.7807,81.68356,56.9902,59.2228,1.604923,1.408139,1.51903,,
10.69249,59.07874,1.779315,82.50001,55.6013,56.6563,1.36071,1.42335,1.50388,,
10.57121,59.44095,1.781144,83.54661,53.7485,53.5556,1.437194,1.437744,1.49422,,
10.23438,58.39372,1.790404,83.78894,54.0569,54.4706,1.408766,1.439676,1.497594,,
10.09563,56.33844,1.79887,84.40984,52.6386,52.4456,1.623873,1.459102,1.495875,,
10.02875,56.46002,1.822106,83.90128,53.1372,54.2597,1.690517,1.466378,1.500032,,
10.14124,57.36003,1.825773,81.72424,53.3893,54.8531,1.353572,1.475647,1.502087,,
10.19437,57.15548,1.818285,80.1068,51.3661,51.1401,1.288009,1.478031,1.511947,,
10.15517,55.76213,1.817747,78.52029,51.0031,50.5315,1.747319,1.480992,1.507326,,
10.10749,55.05613,1.813693,79.13267,57.2641,61.3818,1.637397,1.478333,1.515742,,
10.04033,57.49887,1.801816,81.78295,53.2799,53.6393,1.498055,1.471891,1.496289,,
10.11124,58.65143,1.799603,82.64697,52.9611,53.0111,1.494563,1.475184,1.521461,,
